Designator,Footprint,Quantity,Value,LCSC Part #
C1,CAPPRD500W65D1000H1300,1,470μF,
"C11, C7, C9",CP_Radial_D8.0mm_P3.50mm,3,100u,
"C2, C5",0603,2,0.1μF,
C4,CP_Radial_D8.0mm_P3.50mm,1,100μF,
C6,0603,1,22u,
C8,0603,1,10u,
D1,LED_D5.0mm,1,5V抵抗内蔵,
D2,LED_D5.0mm,1,3.3V抵抗内蔵,
D8,TO255P480X1000X2050-3P,1,MBR3045FCT,
F2,FUSE_3557-15,1,3557-15,
J1,AMASS_XT90PW-M_1x02_P10.90mm_Horizontal,1,Power_conn(XT90),
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,電圧計_測定,
"J22, J23, J4, J5",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,4,XH_Moter_Output,
"J26, J27, J28",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,3,Conn_01x03_Pin,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,電圧計_電源,
J30,JST_XH_B20B-XH-A_1x20_P2.50mm_Vertical,1,Conn_01x20_Pin,
MD1,OKL-T&slash_6-W12N-C-Kai,1,OKL-T_6-W12N-C,OKL-T/6-W12N-C
PS1,MAU101,1,MAU102_電圧計用切り離し,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.5k,
R13,R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,1,0.33Ω_金属皮膜,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,680,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1.2k,
SW1,AMASS_XT90PW-M_1x02_P10.90mm_Horizontal,1,SW_SPST,
U1,LMR,1,DCDC,
"U2, U3, U4, U5",DRV8262DDWRModule,4,DRV8262DDWR,
